addr_street,addr_number,addr_area_locality,addr_postal_code,addr_town_city,addr_state_province,addr_country,addr_continent
Main Street,123,Westminster,W1A 1AA,London,England,United Kingdom,Europe
High Street,456,Chelsea,SW3 1AB,London,England,United Kingdom,Europe
Park Avenue,789,Kensington,W8 2CD,London,England,United Kingdom,Europe
Baker Street,234,Marylebone,W1U 4ER,London,England,United Kingdom,Europe
Oxford Road,567,Soho,W1D 1AN,London,England,United Kingdom,Europe
Queensway,890,Bayswater,W2 3RY,London,England,United Kingdom,Europe
Green Lane,111,Holborn,WC1V 7EH,London,England,United Kingdom,Europe
Broadway,222,Covent Garden,WC2H 9JQ,London,England,United Kingdom,Europe
Kingsway,333,Islington,EC1R 0LU,London,England,United Kingdom,Europe
Regent Street,444,Mayfair,W1B 2QD,London,England,United Kingdom,Europe
Canterbury Road,555,Sturry,CT2 0AA,Canterbury,England,United Kingdom,Europe
St. George's Lane,666,Bridge,CT4 0AD,Canterbury,England,United Kingdom,Europe
Highfield Avenue,777,Herne Bay,CT6 8UA,Canterbury,England,United Kingdom,Europe
Station Road,888,Faversham,ME13 8PT,Canterbury,England,United Kingdom,Europe
Church Street,999,Ashford,TN23 1QG,Canterbury,England,United Kingdom,Europe
Maidstone Road,1010,Whitstable,CT5 1AB,Canterbury,England,United Kingdom,Europe
High Street,1111,Chatham,ME4 4AB,Canterbury,England,United Kingdom,Europe
Victoria Road,1212,Gillingham,ME7 5AA,Canterbury,England,United Kingdom,Europe
Balmoral Gardens,1313,Dartford,DA1 1AD,Canterbury,England,United Kingdom,Europe
Castle Street,1414,Rochester,ME1 1AB,Canterbury,England,United Kingdom,Europe
Union Street,1515,Gravesend,DA11 0AA,Canterbury,England,United Kingdom,Europe
Hempstead Lane,1616,Sevenoaks,TN13 3AB,Canterbury,England,United Kingdom,Europe
Station Road,1717,Tonbridge,TN9 1AB,Canterbury,England,United Kingdom,Europe
Vicarage Road,1818,Tunbridge Wells,TN1 1AB,Canterbury,England,United Kingdom,Europe
High Street,123,Greenwich,SE10 8AA,London,England,United Kingdom,Europe
Waterloo Road,456,Southwark,SE1 7AB,London,England,United Kingdom,Europe
Kings Road,789,Chelsea,SW3 5CD,London,England,United Kingdom,Europe
Holborn Viaduct,234,Blackfriars,EC1A 2FG,London,England,United Kingdom,Europe
Bayswater Road,567,Paddington,W2 4ER,London,England,United Kingdom,Europe
Fleet Street,890,City of London,EC4A 1AA,London,England,United Kingdom,Europe
Charing Cross Road,111,Soho,W1D 3HZ,London,England,United Kingdom,Europe
Borough High Street,222,Borough,SE1 9JH,London,England,United Kingdom,Europe
Knightsbridge,333,Knightsbridge,SW1X 7LA,London,England,United Kingdom,Europe
Fitzrovia,444,Fitzrovia,W1T 3AB,London,England,United Kingdom,Europe
High Street,555,Canterbury,CT1 2AB,Canterbury,England,United Kingdom,Europe
Mill Lane,666,Sturry,CT2 5AB,Canterbury,England,United Kingdom,Europe
Brooks Road,777,Bridge,CT4 7AD,Canterbury,England,United Kingdom,Europe
Chapel Street,888,Herne Bay,CT6 7UA,Canterbury,England,United Kingdom,Europe
Railway Street,999,Faversham,ME13 9PT,Canterbury,England,United Kingdom,Europe
Church Road,1010,Ashford,TN24 1QG,Canterbury,England,United Kingdom,Europe
Harbour Street,1111,Whitstable,CT5 2AB,Canterbury,England,United Kingdom,Europe
West Street,1212,Chatham,ME4 5AB,Canterbury,England,United Kingdom,Europe
High Street,1313,Gillingham,ME7 6AA,Canterbury,England,United Kingdom,Europe
London Road,1414,Dartford,DA1 5AB,Canterbury,England,United Kingdom,Europe
Northgate,1515,Rochester,ME2 1AB,Canterbury,England,United Kingdom,Europe
Windmill Street,1616,Gravesend,DA11 1AA,Canterbury,England,United Kingdom,Europe
Station Road,1717,Sevenoaks,TN14 0AA,Canterbury,England,United Kingdom,Europe
Bridge Street,1818,Tonbridge,TN9 2AB,Canterbury,England,United Kingdom,Europe
Mount Pleasant,1919,Tunbridge Wells,TN2 3AB,Canterbury,England,United Kingdom,Europe
Victoria Street,2020,Greenwich,SE3 4AA,London,England,United Kingdom,Europe
Strand,2121,Westminster,WC2R 0AA,London,England,United Kingdom,Europe
