cuad_customer_id_fk,cuad_address_id_fk,cuad_date_address_from,cuad_date_address_to
1,55,2022-03-15,
2,56,2021-11-22,
3,57,2022-06-10,
4,58,2023-02-28,
5,59,2022-09-07,
6,60,2021-12-19,
7,61,2023-01-25,
8,62,2022-04-14,
9,63,2023-06-30,
10,64,2022-08-12,
11,65,2021-10-05,
12,66,2023-03-20,
13,67,2022-07-08,
14,68,2022-02-17,
15,69,2021-09-28,
16,70,2023-05-03,
17,71,2022-11-11,
18,72,2023-04-01,
19,73,2022-01-08,
20,74,2022-10-15,
21,75,2023-07-22,
22,76,2021-12-05,
23,77,2023-03-01,
24,78,2022-05-18,
25,79,2022-09-12,
26,80,2023-02-14,
27,81,2022-04-30,
28,82,2021-11-03,
29,83,2023-05-29,
30,84,2022-08-28,
31,85,2022-03-08,
32,86,2021-10-20,
33,87,2023-01-10,
34,88,2022-07-30,
35,89,2022-02-04,
36,90,2021-09-12,
37,91,2023-06-18,
38,92,2022-11-24,
39,93,2023-04-15,
40,94,2022-01-25,
41,95,2022-10-05,
42,96,2023-08-12,
43,97,2021-12-15,
44,98,2023-02-22,
45,99,2022-05-06,
46,100,2022-09-01,
