invo_customer_id_fk;invo_date;invo_net_value;invo_gross_value;invo_tax_rate_pct;invo_currency_code;invo_details
12;2023-09-01;250,00;270,00;8;GBP;
7;2023-09-02;150,00;162,00;8;GBP;
34;2023-09-03;450,00;486,00;8;GBP;
19;2023-09-04;320,00;345,60;8;GBP;
6;2023-09-05;180,00;194,40;8;GBP;
46;2023-09-06;550,00;594,00;8;GBP;
22;2023-09-07;380,00;410,40;8;GBP;
15;2023-09-08;280,00;302,40;8;GBP;
1;2023-09-09;120,00;129,60;8;GBP;
31;2023-09-10;420,00;453,60;8;GBP;
9;2023-09-11;160,00;172,80;8;GBP;
38;2023-09-12;500,00;540,00;8;GBP;
24;2023-09-13;400,00;432,00;8;GBP;
3;2023-09-14;140,00;151,20;8;GBP;
16;2023-09-15;290,00;313,20;8;GBP;
11;2023-09-16;210,00;226,80;8;GBP;
40;2023-09-17;600,00;648,00;8;GBP;
26;2023-09-18;420,00;453,60;8;GBP;
8;2023-09-19;170,00;183,60;8;GBP;
32;2023-09-20;460,00;496,80;8;GBP;
14;2023-09-21;270,00;291,60;8;GBP;
5;2023-09-22;170,00;183,60;8;GBP;
44;2023-09-23;550,00;594,00;8;GBP;
20;2023-09-24;350,00;378,00;8;GBP;
10;2023-09-25;190,00;205,20;8;GBP;
42;2023-09-26;520,00;561,60;8;GBP;
28;2023-09-27;440,00;475,20;8;GBP;
13;2023-09-28;250,00;270,00;8;GBP;
4;2023-09-29;150,00;162,00;8;GBP;
36;2023-09-30;480,00;518,40;8;GBP;
18;2023-10-01;320,00;345,60;8;GBP;
30;2023-10-02;400,00;432,00;8;GBP;
17;2023-10-03;300,00;324,00;8;GBP;
2;2023-10-04;130,00;140,40;8;GBP;
25;2023-10-05;410,00;442,80;8;GBP;
21;2023-10-06;360,00;388,80;8;GBP;
27;2023-10-07;430,00;464,40;8;GBP;
37;2023-10-08;490,00;529,20;8;GBP;
23;2023-10-09;390,00;421,20;8;GBP;
35;2023-10-10;460,00;496,80;8;GBP;
29;2023-10-11;470,00;508,80;8;GBP;
33;2023-10-12;430,00;464,40;8;GBP;
39;2023-10-13;510,00;550,80;8;GBP;
5;2023-09-11;100,00;108,00;8;GBP;
18;2023-09-02;250,00;270,00;8;GBP;
9;2023-09-03;75,00;81,00;8;GBP;
26;2023-09-04;300,00;324,00;8;GBP;
12;2023-09-05;120,00;129,60;8;GBP;
34;2023-09-06;500,00;540,00;8;GBP;
7;2023-09-07;80,00;86,40;8;GBP;
2;2023-09-08;50,00;54,00;8;GBP;
21;2023-09-09;180,00;194,40;8;GBP;
31;2023-09-10;400,00;432,00;8;GBP;
14;2023-09-11;150,00;162,00;8;GBP;
46;2023-09-12;750,00;810,00;8;GBP;
28;2023-09-13;350,00;378,00;8;GBP;
11;2023-09-14;110,00;118,80;8;GBP;
39;2023-09-15;600,00;648,00;8;GBP;
17;2023-09-16;240,00;259,20;8;GBP;
4;2023-09-17;65,00;70,20;8;GBP;
23;2023-09-18;280,00;302,40;8;GBP;
35;2023-09-19;520,00;561,60;8;GBP;
16;2023-09-20;230,00;248,40;8;GBP;
3;2023-09-21;60,00;64,80;8;GBP;
29;2023-09-22;380,00;410,40;8;GBP;
19;2023-09-23;270,00;291,60;8;GBP;
8;2023-09-24;85,00;91,80;8;GBP;
6;2023-09-25;70,00;75,60;8;GBP;
24;2023-09-26;300,00;324,00;8;GBP;
13;2023-09-27;130,00;140,40;8;GBP;
37;2023-09-28;560,00;604,80;8;GBP;
10;2023-09-29;100,00;108,00;8;GBP;
25;2023-09-30;320,00;345,60;8;GBP;
15;2023-10-01;160,00;172,80;8;GBP;
30;2023-10-02;400,00;432,00;8;GBP;
22;2023-10-03;190,00;205,20;8;GBP;
40;2023-10-04;600,00;648,00;8;GBP;
20;2023-10-05;220,00;237,60;8;GBP;
33;2023-10-06;480,00;518,40;8;GBP;
1;2023-10-07;40,00;43,20;8;GBP;
27;2023-10-08;370,00;399,60;8;GBP;
36;2023-10-09;540,00;583,20;8;GBP;
32;2023-10-10;460,00;496,80;8;GBP;
38;2023-10-11;580,00;626,40;8;GBP;
