puit_online_purchase_id_fk,puit_product_id_fk,puit_quantity
1,101,6
1,102,9
1,103,12
1,104,8
1,105,7
1,106,10
1,107,11
1,108,7
1,109,5
1,110,9
1,111,8
1,112,12
1,113,6
1,114,7
1,115,10
1,116,9
1,117,8
1,118,11
1,119,5
1,120,12
1,121,7
1,122,8
1,123,10
1,124,9
2,101,7
2,102,8
2,103,10
2,104,6
2,105,9
2,106,12
2,107,8
2,108,10
2,109,7
2,110,9
2,111,12
2,112,7
2,113,8
2,114,11
2,115,6
2,116,9
2,117,10
2,118,8
2,119,9
2,120,7
2,121,11
2,122,12
2,123,5
2,124,8
3,101,8
3,102,10
3,103,9
3,104,6
3,105,7
3,106,11
3,107,9
3,108,8
3,109,10
3,110,12
3,111,6
3,112,8
3,113,7
3,114,10
3,115,9
3,116,7
3,117,11
3,118,8
3,119,6
3,120,10
3,121,9
3,122,12
3,123,5
3,124,11
4,101,6
4,102,8
4,103,9
4,104,7
4,105,11
4,106,10
4,107,7
4,108,9
4,109,12
4,110,6
4,111,8
4,112,10
4,113,7
4,114,9
4,115,11
4,116,6
4,117,12
4,118,8
4,119,7
4,120,10
4,121,9
4,122,7
4,123,11
4,124,10
5,101,11
5,102,9
5,103,10
5,104,7
5,105,8
5,106,6
5,107,12
5,108,11
5,109,7
5,110,9
5,111,10
5,112,8
5,113,9
5,114,7
5,115,12
5,116,10
5,117,6
5,118,11
5,119,8
5,120,10
5,121,9
5,122,7
5,123,12
5,124,9
6,101,9
6,102,8
6,103,11
6,104,7
6,105,6
6,106,12
6,107,10
6,108,9
6,109,8
6,110,11
6,111,7
6,112,10
6,113,9
6,114,8
6,115,12
6,116,6
6,117,11
6,118,7
6,119,10
6,120,9
6,121,8
6,122,10
6,123,7
6,124,11
7,101,7
7,102,9
7,103,10
7,104,11
7,105,6
7,106,8
7,107,9
7,108,12
7,109,7
7,110,8
7,111,10
7,112,9
7,113,6
7,114,11
7,115,12
7,116,7
7,117,8
7,118,9
7,119,10
7,120,11
7,121,6
7,122,7
7,123,8
7,124,9
8,101,10
8,102,7
8,103,9
8,104,8
8,105,6
8,106,11
8,107,12
8,108,10
8,109,7
8,110,9
8,111,8
8,112,6
8,113,10
8,114,11
8,115,9
8,116,7
8,117,12
8,118,8
8,119,11
8,120,6
8,121,9
8,122,10
8,123,7
8,124,12
9,101,7
9,102,10
9,103,8
9,104,11
9,105,9
9,106,6
9,107,12
9,108,10
9,109,8
9,110,7
9,111,9
9,112,11
9,113,6
9,114,12
9,115,8
9,116,10
9,117,9
9,118,7
9,119,11
9,120,6
9,121,12
9,122,8
9,123,10
9,124,7
10,101,8
10,102,7
10,103,9
10,104,11
10,105,6
10,106,10
10,107,8
10,108,7
10,109,12
10,110,9
10,111,11
10,112,6
10,113,10
10,114,12
10,115,7
10,116,9
10,117,8
10,118,6
10,119,10
10,120,11
10,121,7
10,122,9
10,123,8
10,124,12
11,101,10
11,102,11
11,103,8
11,104,6
11,105,9
11,106,7
11,107,12
11,108,10
11,109,8
11,110,9
11,111,6
11,112,11
11,113,10
11,114,7
11,115,8
11,116,12
11,117,9
11,118,6
11,119,10
11,120,11
11,121,7
11,122,9
11,123,8
11,124,10
12,101,9
12,102,6
12,103,10
12,104,11
12,105,8
12,106,7
12,107,9
12,108,6
12,109,12
12,110,8
12,111,7
12,112,10
12,113,11
12,114,9
12,115,8
12,116,6
12,117,10
12,118,9
12,119,11
12,120,7
12,121,10
12,122,12
12,123,7
12,124,8
13,101,11
13,102,6
13,103,8
13,104,9
13,105,7
13,106,12
13,107,11
13,108,10
13,109,9
13,110,6
13,111,12
13,112,8
13,113,7
13,114,10
13,115,11
13,116,7
13,117,9
13,118,8
13,119,10
13,120,6
13,121,11
13,122,12
13,123,7
13,124,9
14,101,10
14,102,7
14,103,8
14,104,11
14,105,9
14,106,6
14,107,12
14,108,10
14,109,7
14,110,9
14,111,8
14,112,11
14,113,6
14,114,10
14,115,12
14,116,7
14,117,8
14,118,9
14,119,10
14,120,11
14,121,6
14,122,7
14,123,8
14,124,9
15,101,8
15,102,11
15,103,10
15,104,6
15,105,9
15,106,7
15,107,12
15,108,8
15,109,11
15,110,6
15,111,7
15,112,9
15,113,10
15,114,12
15,115,8
15,116,7
15,117,9
15,118,11
15,119,10
15,120,6
15,121,8
15,122,9
15,123,12
15,124,6
16,101,11
16,102,9
16,103,7
16,104,8
16,105,12
16,106,10
16,107,6
16,108,9
16,109,7
16,110,11
16,111,8
16,112,10
16,113,9
16,114,8
16,115,7
16,116,11
16,117,12
16,118,6
16,119,9
16,120,10
16,121,8
16,122,7
16,123,9
16,124,10
17,101,6
17,102,8
17,103,7
17,104,11
17,105,9
17,106,10
17,107,12
17,108,6
17,109,11
17,110,9
17,111,8
17,112,7
17,113,9
17,114,12
17,115,10
17,116,8
17,117,11
17,118,6
17,119,7
17,120,9
17,121,10
17,122,11
17,123,7
17,124,8
18,101,12
18,102,8
18,103,10
18,104,11
18,105,7
18,106,9
18,107,6
18,108,12
18,109,10
18,110,9
18,111,11
18,112,8
18,113,6
18,114,7
18,115,9
18,116,10
18,117,8
18,118,7
18,119,12
18,120,11
18,121,9
18,122,6
18,123,10
18,124,11
19,101,7
19,102,12
19,103,9
19,104,10
19,105,6
19,106,11
19,107,8
19,108,7
19,109,9
19,110,10
19,111,12
19,112,8
19,113,6
19,114,11
19,115,7
19,116,8
19,117,10
19,118,9
19,119,12
19,120,6
19,121,11
19,122,9
19,123,7
19,124,10
20,101,12
20,102,10
20,103,6
20,104,9
20,105,7
20,106,8
20,107,11
20,108,6
20,109,9
20,110,12
20,111,8
20,112,10
20,113,7
20,114,9
20,115,11
20,116,6
20,117,12
20,118,8
20,119,7
20,120,10
20,121,9
20,122,8
20,123,11
20,124,6
21,101,9
21,102,8
21,103,10
21,104,11
21,105,7
21,106,6
21,107,9
21,108,12
21,109,8
21,110,7
21,111,11
21,112,10
21,113,6
21,114,8
21,115,12
21,116,9
21,117,7
21,118,10
21,119,8
21,120,11
21,121,6
21,122,7
21,123,9
21,124,10
22,101,8
22,102,11
22,103,9
22,104,10
22,105,12
22,106,6
22,107,7
22,108,8
22,109,11
22,110,9
22,111,10
22,112,6
22,113,9
22,114,7
22,115,8
22,116,12
22,117,10
22,118,8
22,119,11
22,120,9
22,121,7
22,122,6
22,123,12
22,124,10
23,101,11
23,102,8
23,103,9
23,104,12
23,105,6
23,106,10
23,107,11
23,108,9
23,109,7
23,110,8
23,111,7
23,112,10
23,113,11
23,114,6
23,115,12
23,116,8
23,117,9
23,118,6
23,119,11
23,120,10
23,121,7
23,122,12
23,123,8
23,124,9
24,101,7
24,102,10
24,103,12
24,104,9
24,105,8
24,106,11
24,107,6
24,108,7
24,109,8
24,110,10
24,111,9
24,112,11
24,113,6
24,114,9
24,115,10
24,116,7
24,117,12
24,118,8
24,119,6
24,120,11
24,121,12
24,122,9
24,123,7
24,124,8
