prst_product_id_fk,prst_department_code_fk,prst_number
100,CS001,55
101,CS001,12
102,CS001,34
103,CS001,78
104,CS001,25
105,CS001,42
106,CS001,101
107,CS001,33
108,CS001,64
109,CS001,47
110,CS001,14
111,CS001,37
112,CS001,20
113,CS001,113
114,CS001,28
115,CS001,120
116,CS001,38
117,CS001,94
118,CS001,11
119,CS001,82
120,CS001,19
121,CS001,96
122,CS001,60
123,CS001,71
124,CS001,16
125,CS001,132
126,CS001,59
127,CS001,85
128,CS001,17
129,CS001,127
130,CS001,23
131,CS001,70
132,CS001,13
133,CS001,107
134,CS001,43
135,CS001,88
136,CS001,30
137,CS001,52
138,CS001,22
139,CS001,45
140,CS001,10
141,CS001,79
142,CS001,27
143,CS001,98
144,CS001,36
145,CS001,71
146,CS001,18
147,CS001,137
148,CS001,58
149,CS001,91
150,CS001,15
151,CS001,125
152,CS001,53
153,CS001,87
154,CS001,26
155,CS001,103
156,CS001,44
157,CS001,74
158,CS001,21
159,CS001,66
160,CS001,12
161,CS001,110
100,SM001,45
101,SM001,20
102,SM001,38
103,SM001,84
104,SM001,18
105,SM001,33
106,SM001,110
107,SM001,32
108,SM001,62
109,SM001,41
110,SM001,12
111,SM001,35
112,SM001,15
113,SM001,123
114,SM001,24
115,SM001,130
116,SM001,37
117,SM001,100
118,SM001,11
119,SM001,78
120,SM001,17
121,SM001,103
122,SM001,51
123,SM001,60
124,SM001,14
125,SM001,119
126,SM001,53
127,SM001,80
128,SM001,16
129,SM001,126
130,SM001,22
131,SM001,68
132,SM001,13
133,SM001,103
134,SM001,34
135,SM001,85
136,SM001,28
137,SM001,48
138,SM001,21
139,SM001,43
140,SM001,10
141,SM001,74
142,SM001,26
143,SM001,97
144,SM001,35
145,SM001,70
146,SM001,19
147,SM001,134
148,SM001,57
149,SM001,89
150,SM001,15
151,SM001,121
152,SM001,50
153,SM001,83
154,SM001,25
155,SM001,107
156,SM001,36
157,SM001,66
158,SM001,20
159,SM001,54
160,SM001,12
161,SM001,116
100,SA002,52
101,SA002,22
102,SA002,41
103,SA002,92
104,SA002,20
105,SA002,37
106,SA002,120
107,SA002,35
108,SA002,68
109,SA002,46
110,SA002,13
111,SA002,32
112,SA002,16
113,SA002,131
114,SA002,26
115,SA002,137
116,SA002,36
117,SA002,102
118,SA002,12
119,SA002,80
120,SA002,19
121,SA002,99
122,SA002,47
123,SA002,58
124,SA002,14
125,SA002,114
126,SA002,50
127,SA002,85
128,SA002,17
129,SA002,129
130,SA002,23
131,SA002,75
132,SA002,13
133,SA002,99
134,SA002,40
135,SA002,88
136,SA002,30
137,SA002,55
138,SA002,21
139,SA002,45
140,SA002,10
141,SA002,74
142,SA002,28
143,SA002,96
144,SA002,34
145,SA002,72
146,SA002,18
147,SA002,133
148,SA002,56
149,SA002,90
150,SA002,15
151,SA002,119
152,SA002,48
153,SA002,87
154,SA002,27
155,SA002,105
156,SA002,35
157,SA002,63
158,SA002,20
159,SA002,59
160,SA002,12
161,SA002,112
100,SC003,58
101,SC003,24
102,SC003,44
103,SC003,101
104,SC003,21
105,SC003,39
106,SC003,119
107,SC003,36
108,SC003,70
109,SC003,47
110,SC003,15
111,SC003,34
112,SC003,17
113,SC003,126
114,SC003,28
115,SC003,132
116,SC003,35
117,SC003,97
118,SC003,12
119,SC003,83
120,SC003,20
121,SC003,102
122,SC003,49
123,SC003,63
124,SC003,14
125,SC003,113
126,SC003,54
127,SC003,89
128,SC003,16
129,SC003,128
130,SC003,23
131,SC003,76
132,SC003,13
133,SC003,97
134,SC003,42
135,SC003,86
136,SC003,29
137,SC003,53
138,SC003,22
139,SC003,46
140,SC003,11
141,SC003,77
142,SC003,27
143,SC003,95
144,SC003,33
145,SC003,71
146,SC003,19
147,SC003,136
148,SC003,55
149,SC003,91
150,SC003,15
151,SC003,123
152,SC003,51
153,SC003,84
154,SC003,26
155,SC003,108
156,SC003,37
157,SC003,65
158,SC003,18
159,SC003,60
160,SC003,12
161,SC003,116
