purc_customer_id_fk,purc_invoice_yn,purc_invoice_id_fk,purc_date_purchase,purc_gross_value,purc_COMPLAINT_yn,purc_COMPLAINT_id_fk,purc_department_code_fk
1,1,1,2023-09-01,0,1,10,CS001
2,1,2,2023-09-02,0,1,15,SM001
3,1,3,2023-09-03,0,1,20,SA002
4,1,4,2023-09-04,0,1,25,SC003
5,1,5,2023-09-05,0,1,30,CS001
6,1,6,2023-09-06,0,1,33,SM001
7,1,7,2023-09-07,0,0,,SA002
8,1,8,2023-09-08,0,0,,SC003
9,1,9,2023-09-09,0,0,,CS001
10,1,10,2023-09-10,0,0,,SM001
11,1,11,2023-09-11,0,0,,SA002
12,1,12,2023-09-12,0,0,,SC003
13,1,13,2023-09-13,0,0,,CS001
14,1,14,2023-09-14,0,0,,SM001
15,1,15,2023-09-15,0,0,,SA002
16,1,16,2023-09-16,0,0,,SC003
17,1,17,2023-09-17,0,0,,CS001
18,1,18,2023-09-18,0,0,,SM001
19,1,19,2023-09-19,0,0,,SA002
20,1,20,2023-09-20,0,0,,SC003
21,1,21,2023-09-21,0,0,,CS001
22,1,22,2023-09-22,0,0,,SM001
23,1,23,2023-09-23,0,0,,SA002
